FAIXA-ETARIA;OBITOS_HOMES;TAXA_ESPECIFICA_HOMES;OBITOS_MULHERES;TAXA_ESPECIFICA_MULHERES;OBITOS_TODOS;TAXA_ESPECIFICA_TODOS
00 a 04;17052;4,81;14524;4,25;31636;4,54
05 a 09;14958;4,14;11219;3,21;26195;3,69
10 a 14;14044;3,84;11253;3,15;25312;3,5
15 a 19;20523;5,76;14140;3,99;34826;4,9
20 a 29;48116;7,45;45954;7;94896;7,29
30 a 39;86970;16,13;134103;23,83;221693;20,12
40 a 49;244786;58,38;300548;67,84;545711;63,28
50 a 59;561078;186,95;501182;153,39;1062657;169,52
60 a 69;823476;431,44;626076;285,6;1450031;353,6
70 a 79;800033;825,16;603448;495,08;1403925;641,52
80 ou mais;511260;1412,26;467538;828,43;979028;1056,83
Idade ignorada;4124;242,85;3210;185,25;7483;218,11
